strategy,vix_threshold,buy_ratios,buy_target_ratio,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_buy_count,window_count,initial_ratio
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.3, 0.7)",308.84339825285673,269.52001615770587,-52.639811446314596,1195.7721734921524,11.879270745500513,13.962979949876008,-7.201417529360354,29.197129593008885,47.98027891124895,73.29511384665966,0.0,12.0,209,0.2
VIX,35.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.5, 0.5)",291.0257318893405,261.44026094847914,-44.91914182875988,1122.9102469253958,11.875790438939372,13.711307356571666,-5.78933489882032,28.451582304314616,46.378737740153824,68.36882146279211,0.0,8.0,209,0.2
VIX,35.0,"(0.3, 0.3, 0.5, 0.5, 0.7)","(0.3, 0.7)",322.30660314790873,219.70266871478805,-52.64911019901057,1245.0824877479042,11.874394861304937,12.324534165839607,-7.203239708169152,29.680564355031215,50.94908753550583,76.66664429421837,0.0,6.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.3, 0.7)",306.26303999927376,274.4943453324913,-52.653136169476156,1193.9419814731245,11.851931695200868,14.115470827273935,-7.2040287351815895,29.178869748811962,47.61951795430972,73.32157053965418,0.0,12.0,209,0.2
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.3, 0.7)",308.1753792350439,265.39472815952155,-52.440783394208644,1194.5893185371147,11.850109870763836,13.835108995986388,-7.1624930936110776,29.18533089249349,48.275997680414385,73.28081563465003,0.0,11.0,209,0.2
VIX,35.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.3, 0.7)",310.2790103875543,251.20581916433582,-51.32252814791198,1203.3530484574428,11.848729845670096,13.385147749465464,-6.946481007970339,29.272517710627376,49.268848927973586,73.23265534940298,0.0,6.0,209,0.2
VIX,30.0,"(0.3, 0.3, 0.5, 0.5, 0.7)","(0.7, 0.3)",308.81636535833536,219.80439756336537,-62.42053551119244,1035.6328993560255,11.83638922054719,12.328107801846656,-9.323435242586697,27.50399620573367,48.8176610753947,83.54476833446401,0.0,6.0,209,0.4
VIX,30.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.7, 0.3)",311.9279548487657,220.00594616863683,-63.82142700928266,1035.7853426513996,11.836163854804742,12.335184988898096,-9.66726838376596,27.505707670357403,49.1811170340695,83.54040925256052,0.0,6.0,209,0.4
VIX,30.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.7, 0.3)",313.40750125628017,220.70324417309018,-64.6508315032262,1034.976111364448,11.826881263424792,12.359639033885239,-9.876526813683606,27.496620151710193,49.36779763723855,83.53826816354557,0.0,6.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",269.6856098496612,222.92979871838673,-35.7579998407852,1027.5572186800878,11.825597794292511,12.437404596335377,-4.328649303470932,27.413034462306364,40.24499124520816,65.16245288563358,0.0,15.0,209,0.0
VIX,35.0,"(0.3, 0.3, 0.5, 0.5, 0.7)","(0.7, 0.3)",274.0973125353674,247.18896618064034,-38.897636124001565,1050.276686465198,11.825561706424775,13.254793216390738,-4.806827404061787,27.66746405105611,44.013808908108864,65.1087067491659,0.0,8.0,209,0.2
VIX,35.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.3, 0.7)",301.78676812369787,278.47431031679395,-51.92595644106256,1189.7222531375428,11.819087200542997,14.23617172418028,-7.0624830092006485,29.136680737066236,46.791776701084245,72.22733310688949,0.0,14.0,209,0.2
VIX,30.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",308.3918566728127,213.9498645868076,-62.01395251698353,1046.1727978900653,11.816563771768815,12.120759247436851,-9.22580406603256,27.621842321553956,49.1013070973508,83.54199161722377,0.0,9.0,209,0.4
VIX,30.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.7, 0.3)",311.41130326554935,215.57914431034195,-63.69102109657867,1036.9488097119254,11.81515883077414,12.17881019395648,-9.634760582926083,27.518762985101873,49.3057126895167,83.53746177586552,0.0,6.0,209,0.4
VIX,30.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.7, 0.3)",304.22245610243584,217.9976848858558,-60.693682254096835,1051.352089505428,11.808804596715794,12.264486911634664,-8.915131418132717,27.679394767726695,48.59376203751771,83.54559195280966,0.0,10.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",268.48836132961657,222.10102363114234,-35.142766214333356,1027.0550211402103,11.806913894948806,12.408515000413312,-4.237419114839347,27.407358533900215,39.845443008492914,65.17098520509131,0.0,16.0,209,0.0
VIX,35.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.5, 0.5)",287.66295920865156,260.008553903275,-44.8151272819759,1128.9324863237816,11.802969513147577,13.66618449083694,-5.771559281876016,28.51469873187531,46.42492016765243,68.36225377354296,0.0,7.0,209,0.2
